customer_unique_id,recommended_products
00053a61a98854899e70ed204dd4bafe,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
000de6019bb59f34c099a907c151d855,"['3cc4b421c1f28dd22e86fc4aaafb600e', '42a2bd596fda1baef5719cb74f73030c', 'f2f411f86bd5bd427e28e2a30771761f', '98b22c1129886cbd7fcae69d1c93e442', '283dc451ad3918badb976d56ff887289']"
001926cef41060fae572e2e7b30bd2a4,"['87a71ae93900ab55fcf685c8040769b3', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
0025795df7a7d077c4c90162fa820085,"['89e4362d74afa10ac57f8d67210132a6', 'd3b023772520cd1c6ea58f6701679d4b', 'e4ad97ce352e46bebac92018f6ed976d', 'fe6a9515d655fa7936b8a7c841039f34', 'fe077ec80df6b4ee60bb4498d5ab1962']"
002ae492472e45ad6ebeb7a625409392,"['154e7e31ebfa092203795c972e5804a6', 'b1acb7e8152c90c9619897753a75c973', '7b85e3deef35afd6ebed5461ee8f0641', '9c7bdf67b06b419aefb93cfdfc96c55d', '77ccda894b672fe1214b0101d108d7f7']"
004288347e5e88a27ded2bb23747066c,"['caf9add3dcd98d688be0064d9faf65b1', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
00504b68faa074d0f40adcb4f7727f71,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
005754cb59f8ee5cdbb5cda9d138757e,"['832b74a0faa3b602a48e0f20990adaf7', '8ceb6a29cf065f382c7b8cbc9fea3a84', 'fe6a9515d655fa7936b8a7c841039f34', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3']"
0063817060d662048ed08bccecaf45d5,"['3dd2a17168ec895c781a9191c1e95ad7', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
0085139b503668b3addcfe826d91be8d,"['c1488892604e4ba5cff5b4eb4d595400', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
00a39521eb40f7012db50455bf083460,"['2a3539131370b3ac020dd5f7a656a53d', '08c816d9a716567bf436173ef6f5f12e', '5da831182fe9ba6ab33ab17bbc5d16c7', 'cec09725da5ed01471d9a505e7389d37', 'ffd4bf4306745865e5692f69bd237893']"
00adeda9b742746c0c66e10d00ea1b74,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
00ae50eb5e1d2514f694dee1dcbbd5ae,"['7f7da198305ad62091daf841ed6acc6e', '957f6d6b55b78746f89e976cba785440', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
00cc12a6d8b578b8ebd21ea4e2ae8b27,"['cbdb9bf611328898bd4b32a384506b3a', 'e4c7ed7a832858c17d60ad5e38b00aba', '29fd9022374ff3fef2e8f82c39b4133e', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
00ec23a308504080697e5204d3dbcb2c,"['422879e10f46682990de24d770e7f83d', '2f13d1dc8b4e1d9d8027be50339546a9', '0bcc3eeca39e1064258aa1e932269894', 'b0961721fd839e9982420e807758a2a6', '368c6c730842d78016ad823897a372db']"
011b4adcd54683b480c4d841250a987f,"['72172e982e8b92155069e4201c92c0bb', 'ab1106e227a745836a0dc83b374e2575', 'cd48f265a63e13b762601f5f794c5fca', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3']"
012452d40dafae4df401bced74cdb490,"['bdcf6a834e8faa30dac3886c7a58e92e', '283dc451ad3918badb976d56ff887289', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
012b41c1dae00a092474ca48dc764a00,"['6f0169f259bb0ff432bfff7d829b9946', '8b5632d7a4f86bd2f1331355305427e6', 'a3daee3915d4fb98376e039ede6bdea6', '09b0d15a8cc9a84e7af7e0225f67dc45', '3af4f5bb8b0616387fe23646fa94e256']"
0130baad44d0ccc44bc7526c1ac18c64,"['9ada4c8f4e072df42ff63b30520b6975', '8af5b5f4f89849cc4dce36dee73dd9de', '26facbccf840188b92bcc8cb89fe1f64', 'a39cc58c1b5926b6f9f378daa89f1315', '7b5d8be0e04080e4c8ee6a7ec2f1f597']"
013ef03e0f3f408dd9bf555e4edcdc0a,"['738da8ddda2e593acfdc53c2d1520dfa', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
013f4353d26bb05dc6652f1269458d8d,"['2a2d22ae30e026f1893083c8405ca522', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
015557c9912277312b9073947804a7ba,"['31fd02b02c33827cbde22902cf80338c', 'fe6a9515d655fa7936b8a7c841039f34', '113f80f12c8892f0c59206f70b862b40', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
015f170c7abe45372b9f0414d901e71b,"['7703b8cb5b77fbb36518ea91e2ca734f', '186fe07c8b8005ec6a498587ffbc1352', '2cbc1ae9dc8c4d81b096db0ee01ae0e6', '2136c70bbe723d338fab53da3c03e6dc', 'ffc0b406806006602c5853b00ab5f7fd']"
016c60628fc64e15fa5990e58a0b57c1,"['3eef0cb94ba82de806bb30ab743c7655', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
0178b244a5c281fb2ade54038dd4b161,"['35afc973633aaeb6b877ff57b2793310', 'f2e53dd1670f3c376518263b3f71424d', 'eebbed5ed3b134eceb717496c47652ba', 'ec242882027ee23182f0e790e4117128', '7a6aebc4c1205818e64f9275475a73e9']"
01886ef98f995e4f2dd75a1d04c97397,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
019fcfdd0b0ec239cc2b536428064c47,"['53b36df67ebb7c41585e8d54d6772e08', '91c82ace62e0ca1b69b1a45bcc214b45', '6eb70dfb283dc3f645ed7b03c990dc72', '0b6a32b32a7dc68b12e8a0e0805c44d5', 'bfc0d01be79d9038c7720f983bf954e0']"
01a22e2079ea71e17313b88e5811e54a,"['e57eb018e37376580079825eb29a3419', 'b84520a57891e7a8ae2c68741dcc7146', 'a92930c327948861c015c919a0bcb4a8', '8640f0c0e2d0af93274cad7452f80034', 'd2d39433df84064b1556612cc52cefca']"
01e8bcc3377762cf85025138b2901947,"['e0ce26ae52c9ab0b8c8e42129d6c1996', 'c3b9c5a3a88d5cd18800fb865741d9ad', '88e2fc6c65d64b3edbf2cade16ea82d9', '0efe972876d70927f5099b77f387c6c7', 'a0ef8572cd061badd81ffc48dc04d1fa']"
01f2285f85a1c603eb7ef755ad311769,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
023c8fe9cea056407269dfe9bdd57a8c,"['3dd2a17168ec895c781a9191c1e95ad7', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
0241fa2e9adf0576cb0f845377d05c03,"['8a8d870b168dfa470a5f28efab92145d', '283dc451ad3918badb976d56ff887289', 'fe75529a267b76ac6e96f0c322a899a4', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3']"
0246f8de7fe5a9cb5e3a3fffa3cf0da4,"['9e10ae46a3021a02f1692448ef9fa1db', '67b0d38a61d8e4c1c1df7d56276302aa', '438b5ad4eda7949fae4a4b834a69bcd6', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
024bc6c3997170f0ca30edba8ba8aa55,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
02678f5b6207663512dd9cd96af14f0d,"['7e0dc102074f8285580c9777f79c90cf', '5e5d267a41f3d8bb608c2f0bd4b4972f', '56b81eaffe3c2e7e54f3bdf2a935164f', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
027803eb28cc01fbdf5da72b109fabee,"['e2e426d1332240070b0a836a854d057b', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
028296541bfb0fe84ab460804e4c0dce,"['5f00c50de3d989194f0439e343480372', 'b8fefc9c1f951969968e904d08bfa8cd', '0d86ff0b639e969a11a7b3dce67e181c', '98b22c1129886cbd7fcae69d1c93e442', 'bb42f37fc3d9130e4a4339d24a47dd7c']"
02900dde8414f41aa7e3e6394eb08871,"['f303e2cdf0967ef1a153d12f2685d280', '7efd7d1a1a985eae9fecdb134fd657d3', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
0299fedc3f190307e87f32483a9ba4fd,"['d8a77723111124b921fd73b3914e8cbb', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
029b457bd01199c39136f89e0eddcd3a,"['a334304f952399f2161225628a9d2891', '389d119b48cf3043d311335e499d9c6b', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
02b20b7c813efede140142ac610e36dc,"['e53e557d5a159f5aa2c5e995dfdf244b', 'a1a97164f38cfb98511eb68e6b40ad94', 'f293514e0176006f3af40d473cf24a1e', 'ae52eeb8383b94455f0a08b1f88ad002', '9b0ad21bbd4384f9ebc28a688e1e81cd']"
02e4c56fefa30628768ffe326d332e2f,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
02e9109b7e0a985108b43e573b6afb23,"['f48eb5c2fde13ca63664f0bb05f55346', '368c6c730842d78016ad823897a372db', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
02fbe4db886eb98774c8ba300d39fa79,"['d2085f7e0f9533605386960fc7e987ec', '5a848e4ab52fd5445cdc07aab1c40e48', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
02fdf47b3bd661072bb00a5aab1853dc,"['a3daee3915d4fb98376e039ede6bdea6', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
02ff3aee636a9ee1c1fef271daa0bc07,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
030b3bb8818a752ca223944036bad5d7,"['c075b8e131353552218860f1c421e4ef', '188d0b148e6d1c86faffe0d73c3f2dad', 'b8fefc9c1f951969968e904d08bfa8cd', 'f2f411f86bd5bd427e28e2a30771761f', '0fa81e7123fd0ebe03adbbe99d912827']"
031ea691b99fc101dcad357d1a83573f,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
032296639c7e91f3236f544b0a822b3e,"['e343a7fbf868e28cb3f80ef0f6d9300c', '5e21d5cab5d33e770d8150a4ee6117db', '8bef2f3e34f2cc22c908921e6e9eebee', '060f0122cdc8f25db4a0d7359fdae7b0', '57f2bc497c1a3ebe41ba7a06d78ed159']"
032b3a42598667caf2e099999b9dc1b9,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
032c36a3e0e337f241a5910aa6ef3077,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
0339119d431b8dd1b361567e4fc48a58,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
0361e980b28826f4d286ac144d9b319a,"['26facbccf840188b92bcc8cb89fe1f64', '349ce46a0e2e20054aa9d80c48af8816', '5d6bea33648f018dbb563f3a2fab09f3', '962a6951154f98f2c8e9a5b8b2bcf4a9', 'c7fd13b5e515bffdab855d0812842edb']"
037f1240d3a139aef654264b518eb7e1,"['bce474cc95b6e77657e10939b0b4248c', '586328f570ac0b651d452f1227db4d1c', 'e0d64dcfaa3b6db5c54ca298ae101d05', '7a10781637204d8d10485c71a6108a2e', '0a57f7d2c983bcf8188589a5fea4a8da']"
03820299130367803663f7eb70bcf2bc,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
0396c443fdda5498c7e9ed5b34871c5a,"['9fc98e39f04be8e382d8aa5e259f5489', '35afc973633aaeb6b877ff57b2793310', 'b10eba910a974df70b8a12d0665cdb9e', '7fda46e6f8996ebe3acf684cca0124c2', '71a5f1c2a5fd9889ef26b5ac22aec9c6']"
03cccac05d316dc60827fa7abedd608e,"['f2e53dd1670f3c376518263b3f71424d', 'c403e106353e1aa40efe783ecb39ed7a', 'eebbed5ed3b134eceb717496c47652ba', 'ec242882027ee23182f0e790e4117128', '7a6aebc4c1205818e64f9275475a73e9']"
03d4953a455f8489e712ea80699de878,"['001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb', 'ff55834c0b3272853dfe62340f2bb91b']"
03d4c28894c1239ca5a6dd6f0c197921,"['d2085f7e0f9533605386960fc7e987ec', '5a848e4ab52fd5445cdc07aab1c40e48', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
03dabd77cb0ed7a26fafe19e36b67742,"['e282624d8c82e04983f125e167eb4521', '813329d52f377306fa1614ca9a962cd5', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
03ef7f03905227e15c7b6c860554b3cb,"['3fbc0ef745950c7932d5f2a446189725', '819fc0e9c061a08bac3d5044eb92b173', '5dee2c14e1989141e15d341d4c62d72a', '130482add9fd75ccb6c57ba007694a2d', 'ffc0b406806006602c5853b00ab5f7fd']"
03fc54320e654887eddb9480397fa8a2,"['a50acd33ba7a8da8e9db65094fa990a4', 'f67ad6b3366ae186b8d29087e6d5ebd0', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893']"
041caba6a63ace5818387698ea85cdb2,"['d952c09021388fd5b1e5f914f559fb10', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
0421cbe19607719626e374b2347686eb,"['19b7148be60fb48eb30c7eb0431c1a8b', '5101f008a270fb10336de6703f32221e', '23ab7bb9eac81e85ec43ed71064cf7ce', '946344697156947d846d27fe0d503033', 'ad0a798e7941f3a5a2fb8139cb62ad78']"
0451ef5a31cea3e14ce02d768d7c9943,"['50fd2b788dc166edd20512370dac54df', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd', 'ff7c7524d5f9a8386ab27088ec03c1fb']"
04821927835e6a040f8a83ba4d54d998,"['183c95ad186f48c320bbac4643829d3f', 'fe077ec80df6b4ee60bb4498d5ab1962', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
0488328f0b499963e32a37fa42a20ca0,"['bace90a7338e9d31371ad47811cf4c7d', '719d571299707561c34ba04ab867b32a', '3cb39171fd36c50097f2dedbbe0dfe6e', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
048dbdf8f9bbd1be87b25868d1408311,"['7185389e32acf9c5c5f61e6a23c0ab3a', '64fb265487de2238627ce43fe8a67efc', 'b0c2a004d315a5ba0b19584393ac478c', '8d9d31dc8d8c05062987d883cefa98be', '55b04296824029ae20bbeb3b200e69d0']"
04be500031efe43d2defff8c41810543,"['fcaab5d7f656094e49fbe4ee3a506658', '90ef6790cfc145cf45f9c476d1f47af0', 'fb55982be901439613a95940feefd9ee', '656e0eca68dcecf6a31b8ececfabe3e8', '001b72dfd63e9833e8c02742adf472e3']"
04bf51c8d8b123571c86805d49edd9b1,"['6d53aac0a317895a3d25dd19d821ec0c', '57c580a8fbf3d8374b06bee7b6f4ce31', '001b72dfd63e9833e8c02742adf472e3', 'ffd4bf4306745865e5692f69bd237893', 'ffc0b406806006602c5853b00ab5f7fd']"
04d3c2795b83634312bf3f86f41f7901,"['b1acb7e8152c90c9619897753a75c973', 'b68cf84ede4fd1e14b1740de5b727d55', '154e7e31ebfa092203795c972e5804a6', '7b85e3deef35afd6ebed5461ee8f0641', '9c7bdf67b06b419aefb93cfdfc96c55d']"
04e495a3f45df8b41be2e934bbc16961,"['422879e10f46682990de24d770e7f83d', '0bcc3eeca39e1064258aa1e932269894', '53759a2ecddad2bb87a079a1f1519f73', 'a77e6c93242ae050800cb3e5b98c2fcd', 'a6ad77b15e566298a4e8ee2011ab1255']"
